Product Name,Current Price,Original Price,Image URL,Stock,item_id
"Strap apple watch ultra alpine loop two color tali jam iwatch SE 9 8 7 - 5. WHITE RED, SIZE 45MM",Rp100.000,Rp189.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/3/5/4a56908e-99e5-4bf5-8a79-ef74a5d72f25.jpg.webp?ect=4g,1.000,54
"Kacamata Hitam Sunglasses Colore.in TR-90 Polarized Retro Style 6022S - Black, Sunglases Minus",Rp259.000,Rp647.500,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/6e32d4122a0f433b97ce910995a4098c~.jpeg.webp?ect=4g,2.999,55
Gray Pink Kacamata Sunglasses Anti UV TR90 Metal Fashion Wanita 1567 - Black (blueray),Rp68.000,Rp299.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2023/6/26/ad9b50dd-3c71-4322-b55f-b96a9f48c27b.jpg.webp?ect=4g,191,56
WDS Kacamata Bingkai Kecil Wanita Retro Jepang dan Korea Ins Eropa dan Amerika Gradient Color Optical Glass K41 - F31 KC Hitam,Rp6.500,Rp20.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/f52d14801958422a86082b1452138086~.jpeg.webp?ect=4g,2.865,57
"Kacamata Anti Radiasi Pria/Wanita Frame Kotak Bahan TR Berrybarton 051 - Black Grey, Blueray Normal",Rp154.000,Rp516.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/e730efcfdddb4e69b2e45ac5e64729f4~.jpeg.webp?ect=4g,41,58
"Kacamata Frame Kotak Lensa Anti Blueray Pria/Wanita Berrybarton 059 - crystal grey, Blueray Normal",Rp149.000,-,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/337c142c22cb4c3699c2b2f8ca387ccf~.jpeg.webp?ect=4g,59,59
BITZEN Ikat Pinggang Wanita Kulit Imitasi Slim Casual Warna Warni Disesuaikan Gesper Belt Outfit  Perempuan - B-BELT16-Putih,Rp36.200,Rp79.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/243bef167c8d419988b5c4a2b9f46413~.jpeg.webp?ect=4g,1.079,60
tali ikat pinggang kulit asli lebar 3cm( hanya jual tali ) - panjang 120 cm,Rp105.000,-,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2021/4/16/2b21fa20-2d31-452b-9d36-2cfbf1967486.jpg.webp?ect=4g,20,61
TP-KL001 Ikat Pinggang Wanita Casual Bahan Pu Belt - TP-KL001-Black,Rp12.176,Rp12.299,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/8bcd4a6dd3934c989ceee753dc3cb1d3~.jpeg.webp?ect=4g,"17,9 rb",62
"Stephanie Basic Chain Belt Pants Rantai Celana Rantai Jeans Denim Rantai Dompet Retro Punk Hiphop Pria - Gold, RC Stephanie",Rp12.950,Rp30.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/13ab3d1daf1c4c81ad461a53dc25042d~.jpeg.webp?ect=4g,489,63
