Product Name,Current Price,Original Price,Image URL,Stock,item_id
Salsa Dynamatte Lip Cream - Innocent Lady,Rp20.000,Rp23.500,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/25/c2e27e41-9d41-4a56-889c-2c6ead5afbbf.jpg.webp?ect=4g,238,65
About Pout Lip Liner - MakeUp Eyeliner Eye Waterproof Liquid - 05 Myst,Rp15.700,Rp29.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/12e453f932d2485bb5e3d572d24acf2c~.jpeg.webp?ect=4g,463,66
[BPOM] FEALI Lipstik Lip Glow Color Balm 3.5gr - Long lasting With Vitamin c Lipstick Lip Glossy - #008,Rp23.499,-,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/aaba239e347e4844a8caf0053ff8d37d~.jpeg.webp?ect=4g,6.040,67
SOMETHINC Idol Blurry Soft Lip Matte - Ambush,Rp82.500,-,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/5ccf787c0089463ba542ba0c9559080f~.jpeg.webp?ect=4g,152,68
BLP - Lip Liner - Pensil Bibir - Classic Beige,Rp95.000,-,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/2248ec13c6144facad73f21e5baa95ff~.jpeg.webp?ect=4g,98,69
Implora Cosmetic Lip Velvet - Attractive,Rp15.500,-,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/c135d065cad64475a866463f1bcecebf~.jpeg.webp?ect=4g,2.327,70
[KEJAR DISKON] Maybelline Superstay Vinyl Ink Liquid Lipstick - Irresistible,Rp102.127,Rp139.900,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/2/26/7168e89a-619a-426f-a89e-984c3feec53e.jpg.webp?ect=4g,43,71
[FLASH SALE] SOMETHINC Checkmatte Transferproof Lipstick - Lipstick Batang Transferproof - 01 Bishop,Rp89.100,-,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/8/7/261db798-1d2e-433f-bbfe-9e1f215883cd.jpg.webp?ect=4g,3.192,72
Viva Lipstick with Squalane & Mineral Oil No. 01-20 - 01,Rp16.409,Rp22.175,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/0ecfb370aa40497bbb2a1374d956ced8~.jpeg.webp?ect=4g,Sisa 3,73
Prettywell 3D Lipscreen SPF 38 IN VITRO Longlasting Glossy Stain Protect Lips & Blur Lip Wrinkles - Borneo,Rp69.999,Rp74.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/fadb6c1752984c76bcbcb435fd044960~.jpeg.webp?ect=4g,147,74
Red-A Lipstick No. 601-620 Lipstik Red - 601,Rp14.800,Rp20.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/6cf3af0912a14006887f929e18fa07c1~.jpeg.webp?ect=4g,11,75
Ultima II Delicate Lipstick - Fuschia,Rp98.700,Rp105.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/8e2134b687cd4f39acd6894bab26dc7d~.jpeg.webp?ect=4g,Sisa 2,76
Viva Cosmetics - Lipstick - Satin Finish Lipstick - 01,Rp20.040,-,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/b02930aab1b247bfa998007948f56915~.jpeg.webp?ect=4g,47,77
"MOP - G.W.S (Gleaming, Wondering, Shiny) Plump Gloss - 01 MLBB",Rp79.200,Rp99.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/414d1b605dac4e7aa68198c61a5bae55~.jpeg.webp?ect=4g,12,78
"[HOT NEW SHADES] JIERA Lip Peptint, 2 in 1 Lip Color + Treatment, Anti Geser, Lightweight Ringan, Longlasting Tahan Lama - 0.1 Saffron Ale",Rp42.999,Rp68.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/9718fd3b70fc4c2d88826b58a6bcba47~.jpeg.webp?ect=4g,9.653,79
Rollover Reaction - DEWDROP! 12hr+ Hydrating Long Lasting 2 in 1 Liptint for Lips and Cheek - Mimosa,Rp89.000,Rp109.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/26cd617333b840f2bd091bd9fc27cae4~.jpeg.webp?ect=4g,83,80
BLP - Airy Tint - 2.3 gr - Liptint - Gili,Rp53.400,Rp89.000,https://images.tokopedia.net/img/cache/500-square/o3syd0/1997/1/1/02ceb5ba8198469799d47d9fdb4ccfc4~.jpeg.webp?ect=4g,285,81
MOP - AM to PM Colorfast Hypertint - 01 Date Night,Rp84.150,Rp99.000,https://images.tokopedia.net/img/cache/500-square/VqbcmM/2024/11/11/bdde47aa-f2e4-4b98-8ad2-2d985721fd31.jpg.webp?ect=4g,11,82
"[NEW LAUNCH] Dear Me Beauty Hydraglow Lip Stain - Hydrated, Stained, and Feeling Fresh Guaranteed! - Dear Olivia",Rp65.550,Rp69.000,https://images.tokopedia.net/img/cache/500-square/aphluv/1997/1/1/d6cfd437d3a4459292bc038c988ecd03~.jpeg.webp?ect=4g,Habis,83
